epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3236,1.82986,4.58655,1.3478,0,0,0,0,1.36345,4.41013,1.0176,4.4e-05,4.4e-05,4.4e-05
2,50.6999,1.82473,4.22045,1.24437,0.06154,0.0013,0.03137,0.02902,1.41697,4.39403,1.05697,8.2892e-05,8.2892e-05,8.2892e-05
3,77.0721,1.79685,3.8094,1.22285,0.04637,0.07563,0.03682,0.02628,1.40881,4.20801,1.05296,0.00011228,0.00011228,0.00011228
4,103.254,1.79937,3.41932,1.22441,0.03703,0.24115,0.07054,0.04593,1.48036,3.80888,1.07548,0.000132164,0.000132164,0.000132164
5,127.459,1.78555,3.17703,1.23648,0.04345,0.33719,0.09288,0.0579,1.48283,3.51944,1.07924,0.000142544,0.000142544,0.000142544
6,153.84,1.74694,3.06965,1.21919,0.60101,0.11224,0.10492,0.06607,1.46985,3.35984,1.07785,0.00014342,0.00014342,0.00014342
7,179.715,1.74267,2.90837,1.21383,0.62895,0.09221,0.1149,0.07047,1.46668,3.22315,1.09035,0.000134792,0.000134792,0.000134792
8,206.006,1.74628,2.74805,1.21197,0.62208,0.07305,0.12608,0.07586,1.43419,3.06309,1.0867,0.00011666,0.00011666,0.00011666
9,233.629,1.75075,2.6661,1.21231,0.64389,0.09162,0.1279,0.078,1.41858,2.90621,1.08304,8.32e-05,8.32e-05,8.32e-05
10,261.239,1.73159,2.63905,1.20888,0.62649,0.11052,0.1311,0.07886,1.42009,2.7726,1.0836,4.36e-05,4.36e-05,4.36e-05
